log tau_0,T,log P_g,log P_e,log kappa_O/P_e,log rho,x
-4,4348,2.88,1.17E+00,1.22,-8.58,-525
-3.8,4368,3.04,1.03E+00,-1.23,-8.42,-491
-3.6,4388,3.17,-9.00E-01,-1.24,-8.29,-461
-3.4,4414,3.3,-7.90E-01,-1.25,-8.17,-435
-3.2,4439,3.42,-6.80E-01,-1.26,-8.06,-409
-3,4471,3.53,-5.70E-01,-1.28,-7.94,-384
-2.8,4500,3.64,-4.60E-01,-1.29,-7.83,-359
-2.6,4533,3.76,-3.60E-01,-1.3,-7.72,-334
-2.4,4570,3.86,-2.50E-01,-1.32,-7.62,-309
-2.2,4611,3.98,-1.40E-01,-1.34,-7.51,-284
-2,4666,4.09,-3.00E-02,-1.36,-7.41,-259
-1.8,4737,4.2,9.00E-02,-1.39,-7.3,-233
-1.6,4823,4.31,2.10E-01,-1.42,-7.2,-207
1.4,4927,4.42,3.40E-01,-1.46,-7.1,-181
-1.2,5045,4.53,4.70E-01,-1.5,-7,-154
-1,5186,4.64,6.10E-01,-1.55,-6.9,-126
-0.8,5347,4.75,7.70E-01,-1.6,-6.8,-98
-0.6,5540,4.85,9.50E-01,-1.66,-6.72,-70
-0.4,5777,4.95,1.17E+00,-1.73,-6.64,-43
-0.2,6090,5.03,1.46E+00,-1.81,-6.58,-20
0,6494,5.09,1.82E+00,-1.91,-6.55,0
0.2,6989,5.14,2.23E+00,-2.01,-6.53,15
0.4,7542,5.17,2.64E+00,-2.11,-6.54,27
0.6,8035,5.19,2.96E+00,-2.18,-6.54,37
0.8,8442,5.22,3.20E+00,-2.22,-6.54,46
1,8718,5.24,3.36E+00,-2.24,-6.53,56
1.2,8898,5.27,3.46E+00,-2.26,-6.51,67
