,H,He,He+,Li,Be,Be+,B,B+,C,C+,C++,N,N+,O,O+,F,F+,Ne,Ne+,Na,Na+,Mg,Mg+,Mg++,Al,Al+,Al++,Si,Si+,Si++,P,P+,P++,S,S+,Cl,Cl+,Ar,Ar+,K,K+,Ca,Ca+,Ca++,Sc,Sc+,Sc++,Ti,Ti+,Ti++,V,V+,V++,Cr,Cr+,Cr++,Mn,Mn+,Fe,Fe+,Fe++,Co,Co+,Co++,Ni,Ni+,Ni++,Cu,Cu+,Cu++,Zn,Zn+,Zn++,Ga,Ga+,Ga++,Ge,Ge+,Ge++,As,As+,As++,Se,Se+,Br,Br+,Kr,Kr+,Rb,Rb+,Sr,Sr+,Sr++,Y,Y+,Y++,Zr,Zr+,Zr++,Nb,Nb+,Nb++,Mo,Mo+,Mo++,Tc,Tc+,Tc++,Ru,Ru+,Ru++,Rh,Rh+,Rh++,Pd,Pd+,Pd++,Ag,Ag+,Cd,Cd+,Cd++,In,In+,In++,Sn,Sn+,Sn++,Sb,Sb+,Sb++,Te,Te+,Te++,I,I+,I++,Xe,Xe+,Cs,Ba,Ba+,Ba++,La,La+,La++,Ce,Ce+,Ce++,Pr,Pr+,Pr++,Nd,Nd+,Nd++,Pm,Pm+,Pm++,Sm,Sm+,Sm++,Eu,Eu+,Eu++,Gd,Gd+,Gd++,Tb,Tb+,Tb++,Dy,Dy+,Dy++,Ho,Ho+,Ho++,Er,Er+,Er++,Tm,Tm+,Tm++,Yb,Yb+,Yb++,Lu,Lu+,Lu++,Hf,Hf+,Hf++,Ta,Ta+,Ta++,W,W+,W++,Re,Re+,Re++,Os,Os+,Os++,Ir,Ir+,Ir++,Pt,Pt+,Pt++,Au,Au+,Hg,Hg+,Hg++,Tl,Tl+,Pb,Pb+,Pb++,Bi,Bi+,Bi++,Po,Po+,Po++,At,At+,At++,Rn,Rn+,Fr,Fr+,Ra,Ra+,Ra++,Ac,Ac+,Ac++,Th,Th+,Th++,Pa,Pa+,Pa++,U,U+,U++,theta
0,0.368,0.0,0.301,,,0.541,1.191,0.435,1.163,0.853,0.143,1.06,1.073,1.095,0.895,0.788,1.034,0.002,0.771,4.316,0.0,2.839,0.537,0.0,2.208,0.488,0.346,1.521,0.9,0.144,1.01,1.091,0.794,1.153,0.967,0.845,1.053,0.048,0.767,4.647,0.0,5.238,0.825,0.0,4.674,1.911,1.027,4.159,2.237,1.524,4.497,2.355,1.722,4.284,1.981,1.845,4.804,2.056,3.76,2.307,1.887,3.431,2.017,1.717,2.779,1.659,1.403,1.253,0.913,1.016,0.904,0.426,0.028,2.03,0.226,0.316,1.446,0.877,0.062,1.383,1.124,1.053,1.253,0.992,1.705,1.034,0.092,0.74,6.046,0.003,5.005,1.115,0.0,1.716,1.784,1.061,3.289,2.367,1.594,3.238,2.459,1.54,,,,2.079,1.717,2.459,2.535,2.143,1.391,2.278,1.852,1.795,1.953,1.429,1.519,3.248,0.768,2.825,0.658,0.019,4.313,0.391,0.351,1.428,0.887,0.255,1.357,1.085,0.701,1.234,1.017,0.815,1.762,1.015,0.99,2.857,0.745,,3.036,1.585,0.0,2.267,2.135,1.324,3.705,3.154,1.87,3.674,2.608,,,3.032,2.35,,,,,2.799,2.124,,2.245,1.337,2.541,2.781,1.834,3.148,2.847,2.27,2.434,2.483,2.236,3.211,2.299,2.014,3.128,,2.436,,,1.952,,1.446,1.069,1.969,1.62,1.723,2.337,2.06,1.663,2.542,2.173,1.701,2.493,2.008,1.994,,,2.2,,1.858,1.958,2.473,1.736,1.778,2.016,1.735,1.683,1.397,1.015,1.862,0.606,0.293,2.96,0.169,3.467,0.674,0.096,1.36,0.667,0.573,1.313,1.02,0.843,1.73,1.016,0.995,1.363,0.692,,0.007,,1.149,0.0,1.982,1.713,1.201,3.124,2.334,1.732,4.03,2.985,,3.221,2.694,2.137,0.2
1,0.303,0.0,0.301,0.987,0.328,0.334,0.831,0.051,1.037,0.782,0.01,0.729,0.993,0.991,0.655,0.772,0.968,0.0,0.766,1.043,0.0,0.478,0.326,0.0,0.973,0.053,0.304,1.111,0.778,0.01,0.886,1.027,0.76,1.036,0.792,0.769,1.001,0.002,0.756,1.329,0.0,1.332,0.658,0.0,2.078,1.595,0.999,2.333,1.995,1.435,2.408,2.023,1.618,1.977,1.489,1.555,1.64,1.319,2.049,1.881,1.518,2.012,1.714,1.503,1.753,1.386,1.307,0.763,0.379,0.953,0.116,0.309,0.001,0.944,0.017,0.302,1.049,0.725,0.006,0.902,0.957,0.841,1.003,0.815,0.748,0.958,0.006,0.706,1.963,0.0,1.441,0.658,0.0,1.704,1.521,1.018,2.17,2.002,1.477,2.33,2.09,1.416,1.783,1.636,1.669,1.754,1.433,2.331,2.02,1.79,1.35,1.794,1.503,1.532,1.05,1.035,1.329,0.606,0.079,0.289,0.314,0.005,1.154,0.028,0.304,0.986,0.656,0.008,0.936,0.843,0.59,0.959,0.854,0.732,0.72,0.894,0.803,0.079,0.663,1.459,1.842,0.932,0.0,2.079,1.824,1.177,2.792,2.764,1.673,3.01,2.326,2.158,2.816,2.622,2.052,2.275,2.145,2.197,,2.407,1.714,,1.657,0.933,2.346,2.418,1.709,2.74,2.213,1.947,2.518,2.112,1.809,2.364,2.039,1.73,2.279,2.139,1.7,,1.877,1.393,0.522,0.968,0.406,1.389,0.918,0.851,1.804,1.612,1.491,1.996,1.9,1.333,1.857,1.805,1.642,1.655,1.436,1.521,1.895,1.625,0.981,1.787,1.334,1.412,1.511,1.388,1.177,0.698,0.532,0.96,0.33,0.068,0.78,0.008,0.943,0.45,0.004,0.84,0.397,0.376,0.824,0.854,0.733,0.72,0.894,0.803,0.049,0.634,,0.0,0.919,0.689,0.0,1.585,1.294,1.013,2.359,1.644,1.211,2.929,2.413,2.106,2.696,2.031,1.653,0.4
2,0.301,0.0,0.301,0.488,0.087,0.307,0.786,0.006,0.994,0.775,0.0,0.645,0.965,0.964,0.614,0.768,0.949,0.0,0.76,0.493,0.0,0.11,0.304,0.0,0.806,0.006,0.301,1.03,0.764,0.0,0.755,0.984,0.749,0.99,0.688,0.757,0.963,0.0,0.746,0.642,0.0,0.465,0.483,0.0,1.422,1.483,0.992,1.818,1.872,1.374,1.945,1.832,1.518,1.38,1.125,1.44,1.037,1.052,1.664,1.749,1.411,1.716,1.606,1.428,1.577,1.215,1.226,0.536,0.14,0.93,0.017,0.301,0.0,0.777,0.0,0.301,0.965,0.694,0.0,0.765,0.88,0.711,0.943,0.71,0.703,0.897,0.0,0.681,0.89,0.0,0.548,0.462,0.0,1.379,1.37,0.994,1.814,1.849,1.384,2.001,1.887,1.371,1.361,1.276,1.485,1.536,1.315,2.312,1.782,1.586,1.328,1.609,1.339,1.403,0.791,0.935,1.243,0.334,0.017,0.027,0.302,0.0,0.742,0.004,0.302,0.862,0.594,0.0,0.802,0.718,0.523,0.881,0.744,0.578,0.656,0.823,0.703,0.005,0.636,0.916,1.096,0.791,0.0,1.782,1.651,1.088,2.573,2.567,1.581,2.79,2.154,1.873,2.449,2.347,1.867,1.908,1.73,1.929,2.051,2.112,1.554,1.472,1.404,0.906,2.053,2.192,1.639,2.402,2.006,1.804,2.288,1.873,1.654,2.174,1.802,1.515,1.91,1.776,1.523,,1.521,1.101,0.22,0.508,0.089,1.131,0.606,0.677,1.475,1.372,1.364,1.63,1.658,1.123,1.482,1.508,1.41,1.238,1.117,1.246,1.595,1.45,0.829,1.55,1.167,1.26,1.39,1.191,1.061,0.529,0.281,0.003,0.306,0.003,0.479,0.001,0.479,0.375,0.0,0.707,0.206,0.328,0.747,0.745,0.578,0.655,0.824,0.704,0.0,0.617,,0.0,0.585,0.502,0.0,1.286,1.008,0.934,1.933,1.289,0.967,2.6,2.169,1.845,2.298,1.719,1.454,0.6
3,0.301,0.0,0.301,0.359,0.025,0.302,0.778,0.0,0.975,0.774,0.0,0.616,0.953,0.953,0.604,0.765,0.94,0.0,0.754,0.357,0.0,0.027,0.301,0.0,0.774,0.0,0.301,0.996,0.759,0.0,0.684,0.956,0.74,0.965,0.64,0.751,0.94,0.0,0.736,0.429,0.0,0.181,0.391,0.0,1.181,1.413,0.988,1.596,1.797,1.338,1.77,1.72,1.462,1.141,0.944,1.39,0.865,0.94,1.519,1.682,1.37,1.598,1.531,1.388,1.521,1.108,1.238,0.425,0.045,0.912,0.001,0.301,0.0,0.733,0.0,0.301,0.917,0.666,0.0,0.696,0.818,0.627,0.905,0.655,0.688,0.856,0.0,0.661,0.518,0.0,0.229,0.375,0.0,1.183,1.272,0.975,1.63,1.744,1.321,1.832,1.747,1.341,1.098,1.081,1.354,1.398,1.233,2.3,1.636,1.465,1.314,1.501,1.25,1.32,0.614,0.896,1.192,0.302,0.006,0.0,0.301,0.0,0.651,0.001,0.3,0.781,0.543,0.0,0.726,0.613,0.483,0.833,0.683,0.474,0.641,0.78,0.643,0.002,0.622,0.595,0.672,0.699,0.0,1.576,1.546,1.018,2.406,2.408,1.508,2.616,2.028,1.667,2.135,2.148,1.729,1.716,1.507,1.757,1.754,1.919,1.469,1.188,1.277,0.904,1.865,2.041,1.585,2.205,1.893,1.72,2.101,1.743,1.572,2.027,1.636,1.401,1.663,1.607,1.454,1.192,1.344,0.972,0.081,0.355,0.021,1.009,0.406,0.576,1.286,1.218,1.268,1.398,1.493,0.978,1.26,1.313,1.235,1.01,0.97,1.025,1.419,1.337,0.753,1.415,1.083,1.158,1.333,1.074,0.983,0.444,0.139,0.003,0.303,0.0,0.393,0.0,0.298,0.34,0.0,0.653,0.107,0.307,0.723,0.683,0.468,0.641,0.78,0.644,0.0,0.608,0.595,0.0,0.317,0.408,0.0,1.101,0.812,0.883,1.644,1.089,0.848,2.414,1.99,1.652,2.032,1.553,1.362,0.8
4,0.301,0.0,0.301,0.32,0.007,0.301,0.777,0.0,0.964,0.773,0.0,0.606,0.946,0.947,0.602,0.762,0.935,0.0,0.748,0.32,0.0,0.007,0.301,0.0,0.768,0.0,0.301,0.976,0.755,0.0,0.645,0.936,0.731,0.949,0.618,0.745,0.924,0.0,0.727,0.351,0.0,0.073,0.344,0.0,1.077,1.362,0.985,1.48,1.746,1.315,1.681,1.648,1.43,1.022,0.856,1.365,0.808,0.889,1.446,1.638,1.35,1.529,1.47,1.361,1.49,1.037,1.216,0.368,0.009,0.895,0.0,0.301,0.0,0.715,0.0,0.301,0.879,0.641,0.0,0.655,0.771,0.569,0.875,0.619,0.67,0.829,0.0,0.646,0.378,0.0,0.098,0.334,0.0,1.073,1.201,0.96,1.513,1.662,1.276,1.727,1.643,1.315,0.966,0.956,1.251,1.302,1.17,2.29,1.535,1.382,1.307,1.426,1.192,1.261,0.474,0.874,1.159,0.302,0.001,0.0,0.301,0.0,0.615,0.0,0.299,0.712,0.5,0.0,0.679,0.525,0.457,0.798,0.644,0.399,0.628,0.751,0.604,0.0,0.612,0.433,0.419,0.623,0.0,1.433,1.471,0.967,2.258,2.274,1.454,2.467,1.927,1.433,1.899,2.0,1.619,1.6,1.377,1.604,1.564,1.783,1.411,1.04,1.205,0.902,1.744,1.93,1.547,2.083,1.817,1.663,1.965,1.663,1.518,1.899,1.523,1.325,1.49,1.524,1.413,1.038,1.263,0.873,0.027,0.316,0.016,0.941,0.265,0.5,1.166,1.106,1.196,1.241,1.365,0.856,1.111,1.154,1.071,0.892,0.9,0.824,1.305,1.256,0.691,1.325,1.028,1.082,1.297,0.991,0.923,0.391,0.05,0.002,0.302,0.0,0.35,0.0,0.198,0.322,0.0,0.628,0.053,0.296,0.713,0.643,0.388,0.628,0.751,0.604,0.0,0.604,0.434,0.0,0.163,0.357,0.0,0.982,0.661,0.847,1.439,0.967,0.769,2.279,1.846,1.469,1.849,1.455,1.305,1.0
5,0.301,0.0,0.301,0.308,0.002,0.301,0.777,0.0,0.958,0.772,0.0,0.603,0.942,0.944,0.602,0.759,0.93,0.0,0.743,0.309,0.0,0.002,0.301,0.0,0.767,0.0,0.301,0.961,0.75,0.0,0.624,0.921,0.721,0.937,0.608,0.739,0.912,0.0,0.718,0.32,0.0,0.028,0.32,0.0,1.027,1.322,0.982,1.411,1.708,1.3,1.625,1.597,1.41,0.956,0.813,1.351,0.788,0.866,1.402,1.604,1.337,1.478,1.418,1.339,1.467,0.988,1.196,0.337,0.0,0.88,0.0,0.301,0.0,0.702,0.0,0.301,0.844,0.622,0.0,0.632,0.737,0.525,0.851,0.593,0.655,0.81,0.0,0.635,0.325,0.0,0.041,0.315,0.0,1.011,1.144,0.946,1.43,1.593,1.24,1.655,1.562,1.291,0.904,0.857,1.163,1.228,1.12,2.283,1.463,1.318,1.302,1.369,1.149,1.217,0.364,0.858,1.135,0.302,0.0,0.0,0.301,0.0,0.588,0.0,0.298,0.651,0.465,0.0,0.649,0.454,0.44,0.773,0.616,0.341,0.62,0.731,0.575,0.0,0.607,0.354,0.264,0.558,0.0,1.328,1.413,0.93,2.128,2.158,1.414,2.34,1.842,1.153,1.725,1.886,1.526,1.518,1.291,1.446,1.44,1.68,1.367,0.967,1.16,0.9,1.661,1.842,1.52,1.999,1.761,1.619,1.866,1.608,1.476,1.79,1.444,1.264,1.371,1.478,1.38,0.964,1.226,0.769,0.008,0.309,0.01,0.897,0.162,0.438,1.083,1.015,1.143,1.13,1.253,0.745,1.0,1.006,0.911,0.833,0.857,0.64,1.227,1.193,0.637,1.26,0.985,1.023,1.27,0.926,0.878,0.358,0.0,0.0,0.3,0.0,0.323,0.0,0.134,0.312,0.0,0.615,0.021,0.29,0.707,0.615,0.325,0.618,0.73,0.576,0.0,0.601,0.355,0.0,0.08,0.33,0.0,0.904,0.535,0.822,1.288,0.887,0.704,2.169,1.723,1.281,1.719,1.392,1.259,1.2
6,0.301,0.0,0.301,0.304,0.001,0.301,0.777,0.0,0.954,0.771,0.0,0.602,0.939,0.941,0.602,0.756,0.926,0.0,0.737,0.307,0.0,0.001,0.301,0.0,0.766,0.0,0.301,0.949,0.746,0.0,0.613,0.909,0.712,0.929,0.604,0.733,0.903,0.0,0.71,0.308,0.0,0.01,0.309,0.0,1.002,1.29,0.98,1.367,1.678,1.289,1.584,1.56,1.396,0.917,0.793,1.341,0.781,0.855,1.372,1.575,1.328,1.437,1.373,1.321,1.447,0.953,1.178,0.32,0.0,0.867,0.0,0.301,0.0,0.689,0.0,0.301,0.812,0.608,0.0,0.619,0.714,0.491,0.832,0.572,0.647,0.797,0.0,0.626,0.307,0.0,0.016,0.306,0.0,0.975,1.097,0.934,1.366,1.534,1.211,1.601,1.496,1.267,0.876,0.766,1.089,1.169,1.079,2.279,1.408,1.266,1.298,1.323,1.113,1.182,0.277,0.843,1.118,0.301,0.0,0.0,0.301,0.0,0.562,0.0,0.297,0.595,0.438,0.0,0.632,0.395,0.428,0.755,0.594,0.294,0.614,0.716,0.553,0.0,0.604,0.32,0.166,0.504,0.0,1.246,1.364,0.903,2.017,2.052,1.387,2.232,1.768,0.842,1.597,1.793,1.446,1.455,1.225,1.28,1.353,1.596,1.331,0.933,1.128,0.899,1.602,1.77,1.503,1.937,1.718,1.584,1.792,1.567,1.441,1.699,1.389,1.207,1.289,1.446,1.35,0.93,1.209,0.652,0.003,0.305,0.0,0.863,0.086,0.39,1.021,0.936,1.104,1.046,1.149,0.642,0.91,0.861,0.755,0.804,0.823,0.475,1.17,1.141,0.591,1.211,0.948,0.975,1.249,0.869,0.846,0.337,0.0,0.0,0.3,0.0,0.304,0.0,0.091,0.306,0.0,0.609,0.0,0.287,0.704,0.592,0.274,0.611,0.716,0.554,0.0,0.6,0.32,0.0,0.038,0.317,0.0,0.851,0.428,0.804,1.175,0.83,0.643,2.074,1.615,1.088,1.623,1.349,1.217,1.4
7,0.301,0.0,0.301,0.302,0.0,0.301,0.777,0.0,0.951,0.77,0.0,0.602,0.937,0.939,0.602,0.753,0.923,0.0,0.732,0.306,0.0,0.001,0.301,0.0,0.764,0.0,0.301,0.94,0.741,0.0,0.607,0.898,0.703,0.921,0.603,0.727,0.894,0.0,0.702,0.303,0.0,0.003,0.304,0.0,0.989,1.265,0.977,1.337,1.653,1.28,1.552,1.531,1.385,0.892,0.784,1.332,0.779,0.85,1.35,1.549,1.32,1.402,1.334,1.305,1.428,0.927,1.162,0.31,0.0,0.855,0.0,0.301,0.0,0.677,0.0,0.301,0.784,0.599,0.0,0.613,0.699,0.463,0.817,0.553,0.644,0.788,0.0,0.62,0.303,0.0,0.005,0.303,0.0,0.953,1.055,0.923,1.315,1.483,1.185,1.558,1.441,1.244,0.864,0.678,1.023,1.12,1.046,2.277,1.366,1.22,1.295,1.285,1.082,1.155,0.208,0.829,1.104,0.301,0.0,0.0,0.301,0.0,0.538,0.0,0.297,0.545,0.418,0.0,0.621,0.347,0.419,0.742,0.575,0.252,0.61,0.705,0.535,0.0,0.602,0.306,0.103,0.46,0.0,1.18,1.323,0.884,1.922,1.952,1.369,2.14,1.703,0.521,1.501,1.713,1.374,1.401,1.17,1.109,1.288,1.525,1.298,0.917,1.104,0.898,1.556,1.708,1.491,1.888,1.683,1.555,1.736,1.533,1.411,1.624,1.347,1.153,1.234,1.419,1.321,0.916,1.2,0.528,0.002,0.293,0.0,0.836,0.03,0.351,0.973,0.866,1.074,0.981,1.05,0.544,0.831,0.721,0.606,0.792,0.79,0.328,1.128,1.097,0.552,1.173,0.916,0.936,1.231,0.819,0.823,0.324,0.0,0.0,0.299,0.0,0.291,0.0,0.062,0.302,0.0,0.606,0.0,0.287,0.702,0.573,0.231,0.609,0.704,0.537,0.0,0.599,0.306,0.0,0.017,0.311,0.0,0.812,0.335,0.792,1.089,0.787,0.583,1.99,1.515,0.895,1.552,1.317,1.178,1.6
8,0.301,0.0,0.301,0.302,0.0,0.301,0.777,0.0,0.95,0.769,0.0,0.602,0.934,0.937,0.602,0.75,0.919,0.0,0.727,0.306,0.0,0.001,0.301,0.0,0.762,0.0,0.301,0.932,0.736,0.0,0.604,0.889,0.694,0.915,0.602,0.722,0.887,0.0,0.695,0.302,0.0,0.001,0.302,0.0,0.982,1.244,0.974,1.316,1.632,1.272,1.525,1.507,1.377,0.875,0.781,1.324,0.778,0.848,1.332,1.525,1.312,1.371,1.3,1.29,1.41,0.908,1.147,0.305,0.0,0.845,0.0,0.301,0.0,0.665,0.0,0.301,0.758,0.593,0.0,0.61,0.689,0.439,0.805,0.537,0.647,0.782,0.0,0.615,0.304,0.0,0.001,0.301,0.0,0.939,1.017,0.913,1.273,1.438,1.163,1.523,1.395,1.222,0.858,0.59,0.964,1.077,1.019,2.277,1.332,1.18,1.292,1.252,1.055,1.133,0.153,0.815,1.093,0.3,0.0,0.0,0.301,0.0,0.514,0.0,0.297,0.499,0.403,0.0,0.615,0.308,0.412,0.732,0.559,0.215,0.607,0.697,0.521,0.0,0.602,0.303,0.062,0.424,0.0,1.125,1.286,0.87,1.84,1.852,1.356,2.062,1.644,0.209,1.428,1.639,1.308,1.355,1.121,0.939,1.235,1.46,1.27,0.911,1.085,0.898,1.519,1.652,1.483,1.847,1.655,1.529,1.692,1.504,1.385,1.563,1.315,1.102,1.198,1.393,1.295,0.911,1.193,0.402,0.002,0.272,0.0,0.811,0.0,0.32,0.933,0.801,1.051,0.928,0.953,0.454,0.761,0.587,0.468,0.787,0.756,0.201,1.094,1.059,0.52,1.142,0.886,0.904,1.216,0.774,0.808,0.316,0.0,0.0,0.299,0.0,0.283,0.0,0.044,0.3,0.0,0.604,0.0,0.287,0.701,0.557,0.194,0.608,0.696,0.523,0.0,0.598,0.303,0.0,0.008,0.308,0.0,0.784,0.253,0.783,1.021,0.752,0.526,1.915,1.419,0.708,1.498,1.292,1.14,1.8
9,0.301,0.0,0.301,0.302,0.0,0.301,0.776,0.0,0.948,0.767,0.0,0.602,0.932,0.935,0.602,0.747,0.915,0.0,0.723,0.306,0.0,0.0,0.301,0.0,0.76,0.0,0.301,0.925,0.731,0.0,0.603,0.881,0.685,0.91,0.602,0.716,0.88,0.0,0.689,0.302,0.0,0.0,0.301,0.0,0.977,1.227,0.971,1.3,1.613,1.265,1.502,1.487,1.369,0.865,0.78,1.316,0.778,0.848,1.317,1.504,1.304,1.344,1.269,1.276,1.394,0.893,1.133,0.303,0.0,0.836,0.0,0.301,0.0,0.653,0.0,0.301,0.734,0.59,0.0,0.61,0.683,0.419,0.794,0.522,0.653,0.777,0.0,0.612,0.305,0.0,0.0,0.301,0.0,0.929,0.982,0.903,1.237,1.398,1.142,1.492,1.355,1.201,0.855,0.504,0.911,1.039,0.997,2.278,1.303,1.143,1.29,1.224,1.03,1.114,0.111,0.803,1.084,0.3,0.0,0.0,0.301,0.0,0.493,0.0,0.298,0.457,0.392,0.0,0.611,0.274,0.406,0.724,0.545,0.182,0.605,0.69,0.508,0.0,0.602,0.303,0.037,0.396,0.0,1.077,1.254,0.86,1.771,1.75,1.348,1.994,1.591,0.0,1.372,1.566,1.247,1.313,1.074,0.774,1.189,1.399,1.245,0.908,1.069,0.898,1.488,1.602,1.478,1.813,1.631,1.508,1.658,1.479,1.362,1.514,1.289,1.053,1.174,1.367,1.27,0.909,1.186,0.279,0.001,0.246,0.0,0.789,0.0,0.296,0.899,0.74,1.033,0.883,0.859,0.371,0.696,0.46,0.341,0.785,0.72,0.093,1.067,1.024,0.495,1.116,0.859,0.877,1.204,0.733,0.798,0.311,0.0,0.0,0.299,0.0,0.278,0.0,0.032,0.298,0.0,0.604,0.0,0.287,0.701,0.542,0.162,0.608,0.689,0.511,0.0,0.598,0.304,0.0,0.004,0.308,0.0,0.762,0.181,0.776,0.968,0.721,0.472,1.846,1.323,0.532,1.455,1.27,1.105,2.0
